x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
9.70040000000000013358203432289883494e-01,-9.70040000000000013358203432289883494e-01,0.00000000000000000000000000000000000e+00,-2.43090000000000000524025267623073887e-01,2.43090000000000000524025267623073887e-01,0.00000000000000000000000000000000000e+00,4.66200000000000003286260152890463360e-01,4.66200000000000003286260152890463360e-01,-9.32409999999999961062258080346509814e-01,4.32369999999999976569853288310696371e-01,4.32369999999999976569853288310696371e-01,-8.64729999999999998649968802055809647e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.70040046619993951248186293764754697e-01,-9.70039953379993951247645992192963904e-01,-9.32410000000005357505003163986638072e-08,-2.43089956762998481372182952373995127e-01,2.43090043236998481371488923847365860e-01,-8.64729999999993105225448451163668765e-08,4.66199878757802415454164494860890747e-01,4.66200121242213907026530218979646576e-01,-9.32410000000016276970432488406120562e-01,4.32370030383033481720166838318311763e-01,4.32369969616945908537974467931356030e-01,-8.64729999999979435768403531684084650e-01,0.00000000000000000000000000000000000e+00,1.11022302462515654042363166809082031e-16,2.15325513777612446038769160008799841e-16,1.38123800463984311878731145137582834e-16,1.27167070462443148823068056474383525e-07
9.72480859292471253530082615460034643e-01,-9.67565446536598321443839409626481409e-01,-4.91546547287293184632437091593120865e-03,-2.40806503105682415534229146346895119e-01,2.45365052542922838894878734149865549e-01,-4.55849672024042360056842272057975292e-03,4.59831157579947676271637458958769050e-01,4.72614183018013724793372755535121890e-01,-9.32455340597961355554747989059472831e-01,4.33943377155513660423879313431710281e-01,4.30739474996353993649190982527444409e-01,-8.64672852151867699583332521393566203e-01,5.27160000000000041747716394979761390e-03,4.07451850037432450335472822189331055e-14,5.53600179010581780353771030762183203e-15,1.10409952593074505388474735489751536e-14,6.70385658881875352854695648829874699e-03
9.74888218257622468252788879991878851e-01,-9.65057008015838679046865971375663531e-01,-9.83131567478378872608978985245393150e-03,-2.38514902767942375794936973976291394e-01,2.47631312618346200825340006773985632e-01,-9.11630441740382551023615156143980650e-03,4.53507835469008930303399965698080139e-01,4.79073491677435585280577594823766610e-01,-9.32591327146444470073715335087428448e-01,4.35461055633502996022702904978891911e-01,4.29050334369571749028867360525629246e-01,-8.64501390003074790561832490938943069e-01,1.05432000000000008349543278995952278e-02,4.87387907810443721245974302291870117e-14,5.21158920468686241377715958186089699e-15,1.93104569580201444829065788399491853e-14,1.34075267714827226633866885663337598e-02
9.77262362932368460448594858548348049e-01,-9.62514399609041630344801086647328885e-01,-1.47481214723268293840463692911239116e-02,-2.36215445367580910491041818857305449e-01,2.49888510300634658881866280246817986e-01,-1.36729067840537491105718639993918544e-02,4.47229942027995255162782475929272017e-01,4.85577922174096067051487680878849169e-01,-9.32817864202091276704007931373694748e-01,4.36924520008570402816412671549048786e-01,4.27301024767543392193256457082112934e-01,-8.64215544776113840519931354065595766e-01,1.58148000000000003850697538609892945e-02,4.57411886145564494654536247253417969e-14,1.96135423343966397973040740317412499e-14,2.72203114249292842325278882494561876e-14,2.01110782129633909598442897959102993e-02
9.79603532811689746846370666291209831e-01,-9.59937383856653250666683281389482830e-01,-1.96663598200364952200256984456829153e-02,-2.33908412917959972130143177856499671e-01,2.52136324339593917533211546023371356e-01,-1.82277005566339463627300546228894971e-02,4.40997477464768970162753138757269802e-01,4.92127315129294217017475110659895615e-01,-9.33134792594063141669966023982732286e-01,4.38335201121307517951282380399297911e-01,4.25490000864293547086182500311487343e-01,-8.63815201985601110547727106145218048e-01,2.10864000000000016699086557991904556e-02,8.92619311798625858500599861145019531e-14,2.27443275522847943256923454995930527e-14,4.15218458947735629694787244559169174e-14,2.68246166407098869666203455608410877e-02
9.81911967316735365539669212844045229e-01,-9.57325724232659561784389152526128813e-01,-2.45865066650758025557040900157161737e-02,-2.31594079951501930014245029866267326e-01,2.54374425280545462752232081272571985e-01,-2.27800817480435339375630217084625875e-02,4.34810413751066513942685013309434495e-01,4.98721475524330459759932699817514986e-01,-9.33541889275396928192355487692549572e-01,4.39694506314232251456432319982515380e-01,4.23615695339078855808420648039102399e-01,-8.63300201653311152775115193456062466e-01,2.63579999999999994853006057837774279e-02,7.12763181809350498951971530914306641e-14,3.25020293476542416750801380402088150e-14,6.82350960765321452625692185126769171e-14,3.36791362771649768759196774681186071e-02
9.84187905648961280035085814166406942e-01,-9.54679185335975292303509634993789042e-01,-2.95090366099859862920859250243025841e-02,-2.29272713643870258350068437376321654e-01,2.56602475349444113045525596661173926e-01,-2.73294454085738561349474134331522380e-02,4.28668695751016763960096111288175812e-01,5.05360171364600692510953143090942514e-01,-9.34038867115617410960787028944745285e-01,4.41003819320655810808473837840629646e-01,4.21676519289166770349744709474114795e-01,-8.62670338609822626668480772749171024e-01,3.16296000000000007701395077219785890e-02,1.01696429055664339102804660797119141e-13,4.49546869540933925943546446714840118e-14,7.09614906540553260170515872876487048e-14,4.05939595385551646455901675381028326e-02
9.86431586650137359226526429122930365e-01,-9.51997533088947695079089674665627827e-01,-3.44344225741896624680322164628267240e-02,-2.26944573938646036212947238232109631e-01,2.58820128340310981683157534076982188e-01,-3.18751853886649471496148338393147397e-02,4.22572242319108742895418264807855725e-01,5.12043132316252998795027106728956822e-01,-9.34625374635361696180183146102455201e-01,4.42264500187356257796425586335920403e-01,4.19670862695964015922840263996639689e-01,-8.61925362883320319229528075766988360e-01,3.69012000000000020549784096601797501e-02,8.52651282912120223045349121093750000e-14,6.06809303724348544400645675588445035e-14,9.01997252391609491554685669547509554e-14,4.75695371937991176580773355908604572e-02
9.88643248668061922610774615234677021e-01,-9.49280534943117678546612329684745432e-01,-3.93631354539442421448434637093366680e-02,-2.24609913672327549816077713909971281e-01,2.61027029505270427997861962671266251e-01,-3.64166941039428801011030706018701447e-02,4.16520947367635836999727755221801370e-01,5.18770048316334917176138730554789910e-01,-9.35300995683970708665604260342239279e-01,4.43477885228983680035148754066891761e-01,4.17597094947291483076564723792900858e-01,-8.61064980176275208621975703294220308e-01,4.21728000000000033398173115983809112e-02,1.09801057135427981847897171974182129e-13,6.57938373874009200750729035758786121e-14,8.36515634282443472550782419499622025e-14,5.46063064460335714778160820515040541e-02
