x1,x2,x3,x4,x5,x6,x7,x8
0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-1.97627913364882575061604795596537087e+11,-6.40837473272475455621233209058118518e+03,-4.44116884770640041324440971948206425e-04,-5.03859176603782543679699301719665527e-11,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,2.22044604925031308084726333618164062e-16,1.11022302462515654042363166809082031e-16
-2.16488053381524113824507168157840198e+12,-3.35017845773762832888298390798809123e+04,-4.02172979700576860295768710784614086e-04,-2.87193602233060119033325463533401489e-11,-5.55111512312578270211815834045410156e-16,-1.11022302462515654042363166809082031e-16,-2.22044604925031308084726333618164062e-16,-1.11022302462515654042363166809082031e-16
-2.19919466347549916559459762932515758e+12,-5.24804087315239943742906092438715859e+04,-2.85565314890101618061635235790163279e-04,-6.75315359188743968843482434749603271e-12,-2.22044604925031308084726333618164062e-16,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16
-1.29666085769764439303162215777476263e+12,-6.28472831488257319781931542479469499e+04,-9.42234959306897934538937988691031933e-05,1.55135904122971624019555747509002686e-11,-1.11022302462515654042363166809082031e-15,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,1.11022302462515654042363166809082031e-16
-4.12447750690697712946898227936998182e+11,-6.40925741964240367843919088386428484e+04,1.71924868118678020323386590462177992e-04,3.80805387223404068208765238523483276e-11,-1.44328993201270350255072116851806641e-15,1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,1.11022302462515654042363166809082031e-16
6.37438466266634307282285026863277722e+10,-5.57208188241561482787478354339327780e+04,5.12958929866913493356150866020470858e-04,6.09482464497546061465982347726821899e-11,-1.33226762955018784850835800170898438e-15,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,4.44089209850062616169452667236328125e-16
6.11423244151673309372067999234445779e+09,-3.72810493886075061268359220889578864e+04,9.28964537499354925387251569190993905e-04,8.41162695053299103165045380592346191e-11,-1.66533453693773481063544750213623047e-15,-2.22044604925031308084726333618164062e-16,2.22044604925031308084726333618164062e-16,2.22044604925031308084726333618164062e-16
-6.25194885384982303276470632868999644e+11,-8.39651506735333499253925992888980545e+03,1.42003416165659146486177633050829172e-03,1.07583941755251544236671179533004761e-10,-2.22044604925031308084726333618164062e-15,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,9.99200722162640886381268501281738281e-16
-1.65204279957923448952601893269243050e+12,3.12079647514262354771608087844469992e+04,1.98626681534608273693720548180863261e-03,1.31352595467149058094946667551994324e-10,-2.33146835171282873488962650299072266e-15,2.22044604925031308084726333618164062e-16,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16
-3.50665187939887805305006760969721569e+12,8.16827386429785446784190838798167533e+04,2.62776796695829428784918491146527231e-03,1.55422341663324914406985044479370117e-10,-2.33146835171282873488962650299072266e-15,2.22044604925031308084726333618164062e-16,2.22044604925031308084726333618164062e-16,9.99200722162640886381268501281738281e-16
-7.78543040510192290683081521907027422e+12,1.43035525811095209296808228316422174e+05,3.34464944645207484796856078901328146e-03,1.79792181143056950531899929046630859e-10,-2.99760216648792265914380550384521484e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,1.11022302462515654042363166809082031e-15
-1.22841408371036351042307975377498863e+13,2.15120020625061570122005250027541479e+05,4.13702934479021067204485007096081972e-03,2.04462002884042703954037278890609741e-10,-3.44169137633798527531325817108154297e-15,-4.44089209850062616169452667236328125e-16,4.44089209850062616169452667236328125e-16,1.11022302462515654042363166809082031e-15
-1.34499097250091894497769226421990396e+13,2.97631359919356145554480974624311784e+05,5.00503190669454589567521907156333327e-03,2.29432917109306799829937517642974854e-10,-3.55271367880050092935562133789062500e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,9.99200722162640886381268501281738281e-16
-1.22201695011806787772821586557370210e+13,3.90108440342531036660433940710390743e+05,5.94878741681514888739457092015072703e-03,2.54704701774244313128292560577392578e-10,-3.44169137633798527531325817108154297e-15,-1.11022302462515654042363166809082031e-16,2.22044604925031308084726333618164062e-16,9.99200722162640886381268501281738281e-16
-1.07747469010889996213699208396086249e+13,4.91942641372056474856844232590447064e+05,6.96843207940733844196756763267330825e-03,2.80276801767342931270832195878028870e-10,-3.44169137633798527531325817108154297e-15,6.66133814775093924254179000854492188e-16,2.22044604925031308084726333618164062e-16,9.99200722162640886381268501281738281e-16
-9.96154841751072357830684310520119595e+12,6.02392150651740365361330731275302242e+05,8.06410789159572871653836045879870653e-03,3.06149661177812504320172592997550964e-10,-3.55271367880050092935562133789062500e-15,-1.11022302462515654042363166809082031e-16,-1.11022302462515654042363166809082031e-16,9.99200722162640886381268501281738281e-16
-9.75861089729529257484545411494014644e+12,7.20600822467572693271864459063635877e+05,9.23596251034763948695172075531445444e-03,3.32323057961048107245005667209625244e-10,-3.88578058618804789148271083831787109e-15,1.11022302462515654042363166809082031e-16,1.11022302462515654042363166809082031e-16,7.77156117237609578296542167663574219e-16
