x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.00000000000000000000000000000000000e+00,1.08105966433283384731112164445221424e+00,-5.40556847423408148856083244027104229e-01,-5.40508088505425865477604929765220731e-01,-1.61103999936333674313946803802188867e-06,3.45281693188283000939264866246958263e-01,-3.45274810552283650810778681261581369e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,2.75243295633073550463757600548220239e-05,1.09709414564358520571829558321041986e+00,-1.09713166997314859330003855575341731e+00,4.67209878061247363412178401631535962e-01,-2.33529804567645798973885007399076130e-01,-2.33670073493601609948555619666876737e-01,0.00000000000000000000000000000000000e+00,1.00000000000000005551115123125782702e-01,-1.00000000000000005551115123125782702e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,1.08106109656759228811063882785495351e+00,-5.39457815786132781195192634471242403e-01,-5.41603280781459506915446193383711013e-01,4.63838308203546936187783046052367956e-04,3.45045316462869394731279717765112352e-01,-3.45509154771072941667467500811164816e-01,7.73720487513753833731950793591630550e-15,9.99998951157759872072709912106947014e-05,-9.99998951235131920824085295480141976e-05,-6.84119110253816489497794244906333899e-04,1.09744704521337969854327953983666261e+00,-1.09677292610312596228047834237469890e+00,4.67209886790629047885912612550404396e-01,-2.35702581399582911825811430746744466e-01,-2.31497305391046181570363407238076739e-01,3.12783374619835977098101122388226734e-11,9.99996853437021167707936199888003416e-02,-9.99996853749804542327772176986104900e-02,-2.21980870233062788088318484369665384e-05,3.69951221539360521110060767141586577e-04,2.20218493563779375818205177682635927e-03
1.00000000000000005551115123125782702e-01,1.07741842479779438013326890267482921e+00,-4.28951776259612962893453684292709464e-01,-6.48466648538181417239815218382119697e-01,4.71881857098659520737540923026307908e-02,3.10770566194847928912596537783625158e-01,-3.57958751904713880986350630086255949e-01,8.43432329337466387210561171512215862e-07,9.99362099797489281600769628256829352e-03,-9.99446443030423028239490684373980724e-03,-7.24973000827895556772874110056239430e-02,1.10331029966579889243026924380050412e+00,-1.03082299958300941697967842957782300e+00,4.67302576483664381393933729009248315e-01,-4.46696804544040163261148541037665941e-01,-2.05957719396242636430474134059992790e-02,3.34927569899330522636307427949253712e-05,9.68765663703575463579265244651713350e-02,-9.69100591273474794101901552079662603e-02,3.72276748910539967418742435256717727e-01,3.93184491729012262990992860320225965e-01,2.23174921275263098444782801778488778e-01
2.00000000000000011102230246251565404e-01,1.06643494805633099683372125328265120e+00,-3.20317560989744406830943516004304670e-01,-7.46117387066586590002777737278346240e-01,9.39137080156888542430580162830572894e-02,2.56826826684712282814940815561552803e-01,-3.50740534700401137057998831844610189e-01,1.34341273248180996503221577098402837e-05,1.93026437636528913022780639257788517e-02,-1.93160778909777094019283860834886859e-02,-1.48131228004933417107621095512296521e-01,1.06399506974808853001699739723424178e+00,-9.15873841743155193136072898504887987e-01,4.67058871185027125981679785379366876e-01,-6.24650750647793732307095193514044018e-01,1.57601879462766560815153182700260236e-01,2.70042186926211707018235649276663288e-04,8.86159985283081403352255158299282452e-02,-8.88860407152343520422437514792049084e-02,1.55994125813523154544526505560497753e+00,1.15181575285081889236328853494999560e+00,4.31360245683266004872643695777515125e-01
2.99999999999999988897769753748434596e-01,1.04753951962904014645408837853368568e+00,-2.16725889665780711091227722271784384e-01,-8.30813629963259435362860656261901489e-01,1.40534394236388461675051198698179155e-01,1.87528619217230554756978374393218761e-01,-3.28063013453619016432029573091397964e-01,6.92448826174516570846814575266598728e-05,2.76181833789088417297488741225810731e-02,-2.76874282615262933868335555801077359e-02,-2.31362045977557381726294221234293929e-01,1.00736153956522648616808281272896903e+00,-7.76009493587669184668485188277617827e-01,4.64819458409595820111685613125193173e-01,-7.52517838597205939220112363463080660e-01,2.87708380187610073598164524903470630e-01,9.40309449128247535527187360036427108e-04,7.73831979525416379688026629782800804e-02,-7.83235074016698855043298503383164955e-02,2.97287878653025972042200919531751424e+00,1.68094659652184277175301549964025457e+00,6.12719197072299838157891079645398824e-01
4.00000000000000022204460492503130808e-01,1.01978756644075772358997777002379143e+00,-1.18540938553382287167094896386388880e-01,-9.01246627887375436422882873637402547e-01,1.86707731285194224478903586117504849e-01,1.08029258830084707471122906420331953e-01,-2.94736990115278931950026492537836850e-01,2.25458716208689170085463659651435602e-04,3.47447307042230499857467962724388577e-02,-3.49701894204317391558322599320902933e-02,-3.25847040744602322653099963670501828e-01,9.59480749956500449664229188661637311e-01,-6.33643709211898207237825821774078014e-01,4.57436147986714493405110775964072019e-01,-8.29391438147859592331409426951405153e-01,3.71965290161145053416036425552916181e-01,2.33213091632559067009231623256245286e-03,6.50782245743939878997832365573218036e-02,-6.74103554907195785698755527898842805e-02,3.94172180930691495870377138999174349e+00,1.90360261565728947054245382066279987e+00,7.63333065187851590121625805006390704e-01
5.00000000000000000000000000000000000e-01,9.81889500996597783091323276995527506e-01,-2.39805986305964375775871110817657237e-02,-9.57908902366001345513736165913761974e-01,2.31679268820756819778521907184615524e-01,2.31585443764010544263320202178038177e-02,-2.54837813197157874204853927402419438e-01,5.71821067948137699806880793408377190e-04,4.06302010476566182804868197317248850e-02,-4.12020221156047559802937005251332682e-02,-4.34723412122162207420623222549240182e-01,9.36721291896528414740960707080943997e-01,-5.02007879774366287547034081314646346e-01,4.39711778984431633120119139755559419e-01,-8.60917625980933821683395526771432463e-01,4.21215846996502143053014161581456091e-01,4.81118608391874987736802089572402535e-03,5.26343649742611818862183441605362024e-02,-5.74455510581799317635863650562602398e-02,4.33583197764843708554849399661179632e+00,1.97919161505464315594144829593340975e+00,8.85922556232471555082800296781657323e-01
5.99999999999999977795539507496869192e-01,9.32306580270134816711838278392813818e-01,6.98663961443627549009854723020218454e-02,-1.00217297641449757161282375069483586e+00,2.74045761096308390111797123462696265e-01,-6.27784241811518634196082946082858101e-02,-2.11267336915156526692188828854410383e-01,1.23860392753617278475496391215559369e-03,4.52694492381749649928809563466719996e-02,-4.65080531657111377776359202588275933e-02,-5.59595061202561506314025001498402607e-01,9.45556770950617024338880892824465629e-01,-3.85971709748055598251552488109005650e-01,4.03776711393600609392753668074695538e-01,-8.50957342185160647554465065418751252e-01,4.47190630791559992651449171909638906e-01,8.81830996087823941745344027779934243e-03,4.01093423116442094630208969983560868e-02,-4.89276522725224488804743372761554413e-02,4.21660441550846099012517242954345420e+00,2.03000896086489894906888584702424396e+00,9.85864175416389956869948815512335503e-01
6.99999999999999955591079014993738383e-01,8.69496220549971181771688262598785413e-01,1.66123313864073695795809096789741345e-01,-1.03561953441404487756749735938852637e+00,3.11471891702043345924390722356842346e-01,-1.45610384679186346401837954575731272e-01,-1.65861507022856999522552767781111050e-01,2.40159905233188119503018763929092484e-03,4.86349302616314590129150113336655687e-02,-5.10365293139633402079451989729564996e-02,-6.98490705592458583695681741386421131e-01,9.83850665623272920835892538910508290e-01,-2.85369960030814417366907394307029787e-01,3.38923114536292115999790967218019629e-01,-7.98144639736548663179716722574902348e-01,4.59231525200256501669663529922465766e-01,1.48033848964393512935221780260091622e-02,2.70684103392657575718294174425742765e-02,-4.18717952357051088653515954685834507e-02,3.56059377130245546805298317849519663e+00,2.15368951975237655592970363013923001e+00,1.06885386624651663518165646992873722e+00
8.00000000000000044408920985006261617e-01,7.92420838971659523005370657383689408e-01,2.67255998824105809381663696773608708e-01,-1.05967683779576533238703435415729831e+00,3.40463589671679737704348376880342288e-01,-2.20795473753236427385224436411222223e-01,-1.19668115918443310319123940469120052e-01,4.27445975177034172406860583910547483e-03,5.06495439208237168433146631181725710e-02,-5.49240036725940585673832689572780458e-02,-8.42699933399943662704976724586185390e-01,1.04034733932264457234950043683495585e+00,-1.97657405922700989871220309031713086e-01,2.33203334442264190064702450061735061e-01,-6.96993902233576181960668511182195515e-01,4.63800567791311946385703835686043621e-01,2.30250220705061306646866715065668196e-02,1.30358531668958966979385490750585664e-02,-3.60608752374020273626252205816253860e-02,2.34363471454227700885297736022039317e+00,2.49820827310059471994652480878402143e+00,1.14000327140709994126855612979388985e+00
