x cord,y cord,z cord,periodicity error
1.09709414564358520571829558321041986e+00,-2.33529804567645798973885007399076130e-01,1.00000000000000005551115123125782702e-01,4.34555721471848762324564201790213462e-04
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,9.50000000000000054470317145671742765e-02,9.81150098142124351269255865223007670e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,9.60000000000000054678483962788959616e-02,9.32321319385065039444948165690816748e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,9.70000000000000054886650779906176467e-02,8.90026579870517713115784164923254073e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,9.80000000000000055094817597023393319e-02,8.54943620681255953000693822598684901e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,9.90000000000000055302984414140610170e-02,8.27957034582825240239765165183934939e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.00000000000000005551115123125782702e-01,8.10554407475303449802160993283826848e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.01000000000000005571931804837504387e-01,8.05410175003536029079920963083999552e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.02000000000000005592748486549226072e-01,8.17057492006075716485605422943584239e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.03000000000000005613565168260947758e-01,8.52332522718888984972864035448607299e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.04000000000000005634381849972669443e-01,9.20073761648257389043091434751148454e-01
1.09209414564358520561421217465181144e+00,-2.38529804567645799077968415957684556e-01,1.05000000000000005655198531684391128e-01,1.02972612879159862867279887925031872e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,9.50000000000000054470317145671742765e-02,1.11990688974255724933580947687105548e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,9.60000000000000054678483962788959616e-02,1.07238940201330905409228444877064048e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,9.70000000000000054886650779906176467e-02,1.03141929035401777935269384331270887e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,9.80000000000000055094817597023393319e-02,9.98306403641476851018440621475096921e-01
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,9.90000000000000055302984414140610170e-02,9.74664025885128622558076560237673386e-01
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.00000000000000005551115123125782702e-01,9.62675248592904917973410704212775336e-01
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.01000000000000005571931804837504387e-01,9.65418769146968953541624715612296151e-01
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.02000000000000005592748486549226072e-01,9.87176460664123452854616982068117510e-01
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.03000000000000005613565168260947758e-01,1.03355260447092157074967459959990594e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.04000000000000005634381849972669443e-01,1.11118097811569898974570327365658473e+00
1.09209414564358520561421217465181144e+00,-2.37529804567645799057151734245962871e-01,1.05000000000000005655198531684391128e-01,1.22688781688331876073836081445642857e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,9.50000000000000054470317145671742765e-02,1.24545653386559602600339388354757579e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,9.60000000000000054678483962788959616e-02,1.20118881715485528114342392026693626e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,9.70000000000000054886650779906176467e-02,1.16322488944588329781642143692245777e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,9.80000000000000055094817597023393319e-02,1.13316078512210921165682571565342365e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,9.90000000000000055302984414140610170e-02,1.11286471287177877409467037099088660e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.00000000000000005551115123125782702e-01,1.10466620084228441228912024290095868e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.01000000000000005571931804837504387e-01,1.11157357539692214527044315319758373e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.02000000000000005592748486549226072e-01,1.13745131176873637125034596704628082e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.03000000000000005613565168260947758e-01,1.18705758087246921788112179760411655e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.04000000000000005634381849972669443e-01,1.26581975954682140510492521934430861e+00
1.09209414564358520561421217465181144e+00,-2.36529804567645799036335052534241186e-01,1.05000000000000005655198531684391128e-01,1.37925503199685563074087641029958677e+00
1.09209414564358520561421217465181144e+00,-2.35529804567645799015518370822519501e-01,9.50000000000000054470317145671742765e-02,1.35169450764926756177044512314623170e+00
