x cord,y cord,z cord,periodicity error
1.08105966433283384731112164445221424e+00,-1.00016110399993635449099565852548732e-02,0.00000000000000000000000000000000000e+00,4.34553414477141197623445112184066200e-04
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,-5.00000000000000010408340855860842566e-03,1.12823642937373676617043410055532819e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,-4.00000000000000008326672684688674053e-03,1.12960485531591240382281696514038672e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,-3.00000000000000006245004513516505540e-03,1.13141523458549742764889469374046734e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,-2.00000000000000004163336342344337027e-03,1.13366284095834474243782377353011244e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,-1.00000000000000002081668171172168513e-03,1.13634406352210312920084316191613947e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,0.00000000000000000000000000000000000e+00,1.13945648429926822282993579012845691e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,1.00000000000000002081668171172168513e-03,1.14299884776534967178430306903029644e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,2.00000000000000004163336342344337027e-03,1.14697096603675149798240481664349161e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,3.00000000000000006245004513516505540e-03,1.15137360337641965200684369806846124e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,4.00000000000000008326672684688674053e-03,1.15620837717420234457113168005991779e+00
1.07605966433283384720703823589360582e+00,-1.50016110399993636489933651438632989e-02,5.00000000000000010408340855860842566e-03,1.16147770177778326969920538639319268e+00
1.07605966433283384720703823589360582e+00,-1.40016110399993636281766834321416137e-02,-5.00000000000000010408340855860842566e-03,1.12946165597963225860303908777377886e+00
1.07605966433283384720703823589360582e+00,-1.40016110399993636281766834321416137e-02,-4.00000000000000008326672684688674053e-03,1.13074244343221654282425525339246276e+00
1.07605966433283384720703823589360582e+00,-1.40016110399993636281766834321416137e-02,-3.00000000000000006245004513516505540e-03,1.13246196583203537989371102936196394e+00
1.07605966433283384720703823589360582e+00,-1.40016110399993636281766834321416137e-02,-2.00000000000000004163336342344337027e-03,1.13461542462073929908469797025381184e+00
