Vz,periodicity error,period
9.85800000000000109593036685604050540e-02,1.56547378535344969302951669635667394e-01,6.24699999999999988631316227838397026e+01
9.85800100000000109592079248349572040e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800200000000109591121811095093541e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800300000000109590164373840615042e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800400000000109589206936586136543e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800500000000109588249499331658043e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800600000000109587292062077179544e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800700000000109586334624822701045e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800800000000109585377187568222546e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85800900000000109584419750313744046e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801000000000109583462313059265547e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801100000000109599445534749873055e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801200000000109581547438550308549e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801300000000109597530660240916056e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801400000000109579632564041351550e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801500000000109595615785731959058e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801600000000109577717689532394552e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801700000000109593700911223002059e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801800000000109609684132913609567e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85801900000000109591786036714045061e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85802000000000109607769258404652568e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85802100000000109589871162205088062e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
9.85802200000000109605854383895695570e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
