Vz,periodicity error,period
-9.99999999999999934080507912881330412e-03,1.23768723627675424582005701558049644e-01,1.63500000000000000888178419700125232e+00
-9.89999999999999929535532405822095825e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.79999999999999935832578623617905578e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.69999999999999931287603116558670990e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.59999999999999937584649334354480743e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.49999999999999933039673827295246156e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.39999999999999933915709182663533738e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.29999999999999940212755400459343491e-03,1.14870060390692967421660219239875390e-01,1.63500000000000000888178419700125232e+00
-9.19999999999999924825758168545064564e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-9.09999999999999931122804386340874316e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.99999999999999931998839741709161899e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.89999999999999927453864234649927312e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.79999999999999939171921314873259234e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.69999999999999923784924082958980307e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.59999999999999935502981163182312230e-03,1.06020386513749808185885228711088479e-01,1.63500000000000000888178419700125232e+00
-8.49999999999999930958005656123077642e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.39999999999999926413030149063843055e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.29999999999999943552098091714697148e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.19999999999999917323079134945373880e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-8.09999999999999934462147077596227973e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-7.99999999999999929917171570536993386e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
