23Ry,1Rx,periodicity error,period
-1.00000000000000002081668171172168513e-02,-1.00000000000000002081668171172168513e-02,7.29380816929573150628904309278443126e-01,2.12439999999999997726263245567679405e+01
-1.00000000000000002081668171172168513e-02,-9.00000000000000105471187339389871340e-03,6.74497139290687629734842100712557921e-01,2.76200000000000009947598300641402602e+01
-1.00000000000000002081668171172168513e-02,-8.00000000000000016653345369377348106e-03,6.05141553801809492386830475521097360e-01,2.78960000000000007958078640513122082e+01
-1.00000000000000002081668171172168513e-02,-7.00000000000000014571677198205179593e-03,5.12098105980100115984758753407014039e-01,3.42389999999999972146724758204072714e+01
-1.00000000000000002081668171172168513e-02,-6.00000000000000012490009027033011080e-03,3.81367680138301013739781800303660467e-01,4.69849999999999994315658113919198513e+01
-1.00000000000000002081668171172168513e-02,-5.00000000000000010408340855860842566e-03,2.23618672848669673834624052124656933e-01,5.34810000000000016484591469634324312e+01
-1.00000000000000002081668171172168513e-02,-4.00000000000000008326672684688674053e-03,7.63588382224026543850725380286146213e-02,6.00810000000000030695446184836328030e+01
-1.00000000000000002081668171172168513e-02,-3.00000000000000006245004513516505540e-03,5.71931300086159521740083600624442736e-01,7.91970000000000027284841053187847137e+01
-1.00000000000000002081668171172168513e-02,-2.00000000000000004163336342344337027e-03,7.42521284926677477831169160439140200e-02,6.10260000000000033537617127876728773e+01
-1.00000000000000002081668171172168513e-02,-1.00000000000000002081668171172168513e-03,2.08956056620081154611614119385872408e-01,5.51289999999999977831066644284874201e+01
-1.00000000000000002081668171172168513e-02,0.00000000000000000000000000000000000e+00,3.41859698122740919065060151654527271e-01,4.91460000000000007958078640513122082e+01
-1.00000000000000002081668171172168513e-02,1.00000000000000002081668171172168513e-03,4.68613761379046116487048250007136598e-01,4.32030000000000029558577807620167732e+01
-1.00000000000000002081668171172168513e-02,2.00000000000000004163336342344337027e-03,5.83946197772705477777026740717928077e-01,3.71989999999999980673237587325274944e+01
-1.00000000000000002081668171172168513e-02,3.00000000000000006245004513516505540e-03,6.55233286517007886151301340034203482e-01,3.10830000000000019610979506978765130e+01
-1.00000000000000002081668171172168513e-02,4.00000000000000008326672684688674053e-03,6.79384359202604412585353326019105155e-01,2.49420000000000001705302565824240446e+01
-1.00000000000000002081668171172168513e-02,5.00000000000000010408340855860842566e-03,7.42514135075298357122720908049733655e-01,1.86589999999999989199750416446477175e+01
-1.00000000000000002081668171172168513e-02,6.00000000000000012490009027033011080e-03,7.62121012652511626128901782159266977e-01,1.90169999999999994599875208223238587e+01
-1.00000000000000002081668171172168513e-02,7.00000000000000014571677198205179593e-03,7.60912252750276649642151814937969449e-01,4.88040000000000020463630789890885353e+01
-1.00000000000000002081668171172168513e-02,8.00000000000000016653345369377348106e-03,7.30922552542812635540653732015608653e-01,4.92090000000000031832314562052488327e+01
-1.00000000000000002081668171172168513e-02,9.00000000000000105471187339389871340e-03,7.00532927754789918674156831357132227e-01,4.28520000000000038653524825349450111e+01
-1.00000000000000002081668171172168513e-02,1.00000000000000002081668171172168513e-02,6.90362252224220299091956589568687442e-01,3.64900000000000019895196601282805204e+01
-9.00000000000000105471187339389871340e-03,-1.00000000000000002081668171172168513e-02,7.47708615692536667648740685563950379e-01,2.12940000000000004831690603168681264e+01
-9.00000000000000105471187339389871340e-03,-9.00000000000000105471187339389871340e-03,6.87868661364101328337442240226338106e-01,2.15700000000000002842170943040400743e+01
-9.00000000000000105471187339389871340e-03,-8.00000000000000016653345369377348106e-03,6.04913603521497806878241893943601381e-01,2.79230000000000018189894035458564758e+01
-9.00000000000000105471187339389871340e-03,-7.00000000000000014571677198205179593e-03,5.29740239674475188360681210347099863e-01,3.43019999999999996020960679743438959e+01
-9.00000000000000105471187339389871340e-03,-6.00000000000000012490009027033011080e-03,4.14982933029547898051609812138135383e-01,4.70679999999999978399500832892954350e+01
-9.00000000000000105471187339389871340e-03,-5.00000000000000010408340855860842566e-03,2.52742860230380321998432649774614254e-01,5.35660000000000025011104298755526543e+01
-9.00000000000000105471187339389871340e-03,-4.00000000000000008326672684688674053e-03,9.05219510248886244915382861118416431e-02,6.01649999999999991473487170878797770e+01
-9.00000000000000105471187339389871340e-03,-3.00000000000000006245004513516505540e-03,1.49471348456071365563605271040600600e-01,6.68790000000000048885340220294892788e+01
-9.00000000000000105471187339389871340e-03,-2.00000000000000004163336342344337027e-03,7.24259219513363095135442805338322865e-02,6.10960000000000036379788070917129517e+01
-9.00000000000000105471187339389871340e-03,-1.00000000000000002081668171172168513e-03,1.79829362661875022275117499349433076e-01,6.15429999999999992610355548094958067e+01
-9.00000000000000105471187339389871340e-03,0.00000000000000000000000000000000000e+00,3.15997230853108304278537871692722681e-01,4.92400000000000019895196601282805204e+01
-9.00000000000000105471187339389871340e-03,1.00000000000000002081668171172168513e-03,4.46100792210421146132175271419835509e-01,4.32830000000000012505552149377763271e+01
-9.00000000000000105471187339389871340e-03,2.00000000000000004163336342344337027e-03,5.63601701294958034777349599331794088e-01,3.72700000000000031263880373444408178e+01
-9.00000000000000105471187339389871340e-03,3.00000000000000006245004513516505540e-03,6.38055831323143849649789761728580610e-01,3.11460000000000007958078640513122082e+01
-9.00000000000000105471187339389871340e-03,4.00000000000000008326672684688674053e-03,6.65750208094836822705436535020997900e-01,2.49969999999999998863131622783839703e+01
-9.00000000000000105471187339389871340e-03,5.00000000000000010408340855860842566e-03,7.36780685189577350809097942593511442e-01,2.52310000000000016484591469634324312e+01
-9.00000000000000105471187339389871340e-03,6.00000000000000012490009027033011080e-03,7.48341942624585135538919247780905136e-01,1.90670000000000001705302565824240446e+01
-9.00000000000000105471187339389871340e-03,7.00000000000000014571677198205179593e-03,7.79753234657992992839419301476539531e-01,4.88689999999999997726263245567679405e+01
-9.00000000000000105471187339389871340e-03,8.00000000000000016653345369377348106e-03,7.28843899003984705481899544102989113e-01,4.92629999999999981241671775933355093e+01
-9.00000000000000105471187339389871340e-03,9.00000000000000105471187339389871340e-03,7.06367332215929506835945314656427512e-01,4.28960000000000007958078640513122082e+01
-9.00000000000000105471187339389871340e-03,1.00000000000000002081668171172168513e-02,6.98963190428544037986998141819343246e-01,4.33670000000000044337866711430251598e+01
-8.00000000000000016653345369377348106e-03,-1.00000000000000002081668171172168513e-02,7.66798224464023532451225361354856189e-01,2.13460000000000000852651282912120223e+01
-8.00000000000000016653345369377348106e-03,-9.00000000000000105471187339389871340e-03,6.86076938430319152329627807274034015e-01,2.15719999999999991757704265182837844e+01
-8.00000000000000016653345369377348106e-03,-8.00000000000000016653345369377348106e-03,6.22165641415264046705100199129929049e-01,2.79789999999999992041921359486877918e+01
-8.00000000000000016653345369377348106e-03,-7.00000000000000014571677198205179593e-03,5.49043785915537561625947423711174450e-01,3.43650000000000019895196601282805204e+01
-8.00000000000000016653345369377348106e-03,-6.00000000000000012490009027033011080e-03,4.41517286497665932342840395189903346e-01,4.08750000000000000000000000000000000e+01
-8.00000000000000016653345369377348106e-03,-5.00000000000000010408340855860842566e-03,2.91243319799958815156835561181866084e-01,5.36330000000000026716406864579766989e+01
-8.00000000000000016653345369377348106e-03,-4.00000000000000008326672684688674053e-03,1.15906652200070151218693483979108861e-01,6.02370000000000018758328224066644907e+01
-8.00000000000000016653345369377348106e-03,-3.00000000000000006245004513516505540e-03,9.18019002046672769583393952317439231e-02,6.06940000000000026147972675971686840e+01
-8.00000000000000016653345369377348106e-03,-2.00000000000000004163336342344337027e-03,8.32090110929823293323270228102452209e-02,6.11720000000000041495695768389850855e+01
-8.00000000000000016653345369377348106e-03,-1.00000000000000002081668171172168513e-03,1.37420503044387968879346468802011405e-01,6.16210000000000022168933355715125799e+01
-8.00000000000000016653345369377348106e-03,0.00000000000000000000000000000000000e+00,2.95987770460121704141171582221726323e-01,4.93310000000000030695446184836328030e+01
-8.00000000000000016653345369377348106e-03,1.00000000000000002081668171172168513e-03,4.26444861112012046661481863236620923e-01,4.33610000000000042064129956997931004e+01
-8.00000000000000016653345369377348106e-03,2.00000000000000004163336342344337027e-03,5.44983817706646220239534260123754566e-01,3.73410000000000010800249583553522825e+01
-8.00000000000000016653345369377348106e-03,3.00000000000000006245004513516505540e-03,6.22080625193089178780052981972201819e-01,3.12089999999999996305177774047479033e+01
-8.00000000000000016653345369377348106e-03,4.00000000000000008326672684688674053e-03,6.67798752020450325470230303589981715e-01,2.50010000000000012221335055073723197e+01
-8.00000000000000016653345369377348106e-03,5.00000000000000010408340855860842566e-03,7.19938510010488381837886511745957544e-01,2.52880000000000002557953848736360669e+01
-8.00000000000000016653345369377348106e-03,6.00000000000000012490009027033011080e-03,7.40020031835730563617296349038452002e-01,1.91039999999999992041921359486877918e+01
-8.00000000000000016653345369377348106e-03,7.00000000000000014571677198205179593e-03,7.69440384935083643229646147259362085e-01,5.54380000000000023874235921539366245e+01
-8.00000000000000016653345369377348106e-03,8.00000000000000016653345369377348106e-03,7.32502734879844816956734306185083256e-01,4.93440000000000011937117960769683123e+01
-8.00000000000000016653345369377348106e-03,9.00000000000000105471187339389871340e-03,7.16796060176560633424644193686847281e-01,4.29620000000000032969182939268648624e+01
-8.00000000000000016653345369377348106e-03,1.00000000000000002081668171172168513e-02,6.96430910039880355815387726177887140e-01,4.34029999999999986926013662014156580e+01
-7.00000000000000014571677198205179593e-03,-1.00000000000000002081668171172168513e-02,7.64953227059051166809298305344788590e-01,1.53670000000000008810729923425242305e+01
-7.00000000000000014571677198205179593e-03,-9.00000000000000105471187339389871340e-03,6.99994964778664099827064513918696226e-01,2.16180000000000021032064978498965502e+01
-7.00000000000000014571677198205179593e-03,-8.00000000000000016653345369377348106e-03,6.40891277078745103822074363647421005e-01,2.80350000000000001421085471520200372e+01
-7.00000000000000014571677198205179593e-03,-7.00000000000000014571677198205179593e-03,5.70658933380761404194293878094221692e-01,3.44299999999999997157829056959599257e+01
-7.00000000000000014571677198205179593e-03,-6.00000000000000012490009027033011080e-03,4.64511551523335266200179770000678653e-01,4.09489999999999980673237587325274944e+01
-7.00000000000000014571677198205179593e-03,-5.00000000000000010408340855860842566e-03,3.30166408886676773391748366392496071e-01,4.75380000000000038085090636741369963e+01
-7.00000000000000014571677198205179593e-03,-4.00000000000000008326672684688674053e-03,1.53789874212294171761909257864777043e-01,6.03109999999999999431565811391919851e+01
-7.00000000000000014571677198205179593e-03,-3.00000000000000006245004513516505540e-03,7.14571193622221414392991144306334565e-02,6.07689999999999983515408530365675688e+01
-7.00000000000000014571677198205179593e-03,-2.00000000000000004163336342344337027e-03,1.17727992002203881990115565290846299e-01,6.12500000000000000000000000000000000e+01
-7.00000000000000014571677198205179593e-03,-1.00000000000000002081668171172168513e-03,1.07194776447132812299126058038882955e-01,6.17100000000000008526512829121202230e+01
