x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.00000000000000000000000000000000000e+00,1.08030142153150062374796410343454523e+00,-5.39375090224741430648217980584983371e-01,-5.40926331306759193099746122849561863e-01,-1.07300349053326890084540205331601717e-02,3.51243269322949659809925589589359620e-01,-3.40513234417616970801471569056199482e-01,2.39999999999999989139546838212702085e-04,1.01643953670516040688198700081557035e-20,-2.39999999999999999303942205264306153e-04,-1.44224756704366928461436003772178083e-02,1.09616414564358510830288651050068438e+00,-1.09719166997314854228307012817822397e+00,4.68929878061247362719399234265438281e-01,-2.33489804567645786725904599734349176e-01,-2.35990073493601598686453257869288791e-01,-3.20000000000000015334955527634974715e-03,9.92000000000000103916875104914652184e-02,-9.74500000000000088373752760162460618e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,1.08029179288853253288048530103107008e+00,-5.38273602275779246299084098178324297e-01,-5.42018190612753286581401202852745780e-01,-1.02609185099371432946215236555010495e-02,3.51008878402146346221414953020327571e-01,-3.40747959892209202926793429364826521e-01,2.37283254374904338074044552461841361e-04,9.96828943539905212715784184824013361e-05,-3.36966148728894859345622970944242697e-04,-1.51348119833984613509867176550426143e-02,1.09651073975816742490371655230856570e+00,-1.09682592777476909037905705270828010e+00,4.68936250472616091172242963747700211e-01,-2.35658694407644985224704567122535524e-01,-2.33827556064971128640497019963364373e-01,-3.20015761750342015485860524266173411e-03,9.91990193177991006059421347262964343e-02,-9.74488617002956790501208502847652787e-02,-4.44116884771084130534291034564375877e-04,1.97989973155437957048681022331843024e-04,5.29846664982829805024996764929315597e-03
1.00000000000000005551115123125782702e-01,1.07571371824860797212598095063875532e+00,-4.27368654004223712414841133860927767e-01,-6.48345064244384259711139816777827317e-01,3.66868498422685348002607635742793977e-02,3.16783287681566292452708449242005774e-01,-3.53470137523834827252969212816285172e-01,-3.40672097082104307441534238180301956e-05,9.96057666316233055708254614511339388e-03,-9.92650945345412012633839272129536368e-03,-8.70646847038394308769428960544353591e-02,1.10204154454417288299336938682634468e+00,-1.03042685984033357894275370882666681e+00,4.69677582736944008052503469987488568e-01,-4.46087824103739337880659848350698551e-01,-2.41397586332046928648022449749896710e-02,-3.17421669775656071114451294274678614e-03,9.60796946410806108352325998704821683e-02,-9.43554779433240487231254077288659486e-02,3.99538463448599223681867442792281508e-01,4.04978552139557270979750245168669014e-01,2.22143358769240255860655426462526766e-01
2.00000000000000011102230246251565404e-01,1.06377701157489587536519186831180059e+00,-3.18332230792008447597190150155909161e-01,-7.45444780782887427768001718155891572e-01,8.37038211994808074070901136209012075e-02,2.62947771830801970724032642361744395e-01,-3.46651593030282778131122755982645506e-01,-2.93590018606928419010401689588493463e-04,1.92440219481240728334479002129912188e-02,-1.89504319295171444144374985234027283e-02,-1.62953015988568147074047438559166267e-01,1.06314381002859380546245458891979590e+00,-9.15640794040025785214734368415386741e-01,4.70158221198598217438568900813909546e-01,-6.23527737082749763657232591400763051e-01,1.52819515884151523525705067248653770e-01,-2.92789501621892273475098097820724029e-03,8.79523257986802613454750282649133180e-02,-8.64744307824613372097613680878366563e-02,1.58354026393439206721325263060862198e+00,1.14969199421974534401399797052813765e+00,4.29248273687652828864143480844810359e-01
2.99999999999999988897769753748434596e-01,1.04389065278566859320601429284837483e+00,-2.14260435397038231572864314136812585e-01,-8.29630217388630361633149978711562244e-01,1.30694939439606859538982876393658023e-01,1.93784588907150517330429178008074078e-01,-3.24479528346757376869412054401732198e-01,-5.07728499392199671832039996535840178e-04,2.75512011885113004373936963451840024e-02,-2.70434726891191007655616563486481652e-02,-2.46716960324771149128557946502098942e-01,1.00762481353259317687525311088503937e+00,-7.76357853207822154573022382437697922e-01,4.68781680771328056692915924987510865e-01,-7.51425750473120193243731141812807647e-01,2.82094069701792113857856593487097047e-01,-2.22163999583654199855255171461545929e-03,7.69158820282868608450986463876891279e-02,-7.61442420324503174455834154742042712e-02,2.96437873704427745646938774370937608e+00,1.65957347417030276690725986668370298e+00,6.09753600016665790830467696340949261e-01
4.00000000000000022204460492503130808e-01,1.01506953391843651780850843032229887e+00,-1.15453466012027429725109364034953045e-01,-8.99616067906409088083399066287345926e-01,1.77332427473517871785042916678676394e-01,1.14384476143463207868768372666857553e-01,-2.91716903616981079653811289345533947e-01,-6.15651564954941034899211702545383080e-04,3.46883325537380365044001146481936799e-02,-3.40726809887830954695009029456482848e-02,-3.42294905672197563072719065701591372e-01,9.61475901376440369084190160587838809e-01,-6.34630995704242932837798312941005025e-01,4.62399657009642953139991899755506711e-01,-8.28960863882556502324006150531912715e-01,3.66011206872913526491055627438206367e-01,-7.43892495121463139393595939098304895e-04,6.47781714844348194971260207202073328e-02,-6.54842789893133549567697455822396305e-02,3.91407557386864501935974658408667892e+00,1.87053482572789118981399591243167852e+00,7.59861649422288714631776714070141350e-01
5.00000000000000000000000000000000000e-01,9.75946384776212375485834701391123664e-01,-2.00582235755841543678258404767064232e-02,-9.55888161200628221118008860914417145e-01,2.22868665915746751966946700787524721e-01,2.95277239196714364224946792264964703e-02,-2.52396389835418188389441380014021239e-01,-5.20434539811678205179336866050738763e-04,4.05959381575114642420470621968443770e-02,-4.00755036176997860368677253307936383e-02,-4.53290477458490218929008092045196517e-01,9.41317314238321825520644435728095756e-01,-5.03476836779831733417963561737656730e-01,4.45627068644040168825671927542243586e-01,-8.61441695128607698113799632155487600e-01,4.15264626484567506595169081275044327e-01,1.92009074279821329985043398955414776e-03,5.23831849540781095881873770009874514e-02,-5.57532756968763214870751317916721837e-02,4.30297207261770631170350043248618022e+00,1.94030582199684268791270413048249795e+00,8.82252007203743211064533308804444869e-01
5.99999999999999977795539507496869192e-01,9.24849677926142669104520156898659619e-01,7.49505954815520850142895976019865222e-02,-9.99800273407694754118809754500646238e-01,2.65869238402112751337847952632154436e-01,-5.64747608047225324237509108738868694e-02,-2.09394477597390218914097041758267590e-01,-7.78659210046449754877955231213653767e-05,4.52522745842883661449041188285558709e-02,-4.51744086632837211694163233054345116e-02,-5.81921530487271810265032841094591564e-01,9.54198311676981577723002041258262431e-01,-3.87726781189709894284296418218428214e-01,4.09968596034350347200280289559389612e-01,-8.51934282687162065779000422131565301e-01,4.41415686652811695885761509233976051e-01,6.29960155612898021988807187273858207e-03,3.96896432623426681256804677277917716e-02,-4.74392448184716469446058604016609442e-02,4.12636275781045736010810287552885711e+00,1.99120171215550164142712429564895589e+00,9.82201643212769092756174991101075644e-01
6.99999999999999955591079014993738383e-01,8.60046913967127343646823262487511240e-01,1.72868377787539361125624498466725076e-01,-1.03291529175466670477244776095423632e+00,3.03868422198537362920489035334689312e-01,-1.39333255316595146865955279096680161e-01,-1.64535166881942216054533756238009175e-01,9.12963154006386963648659257095704057e-04,4.86018612626670640997302299408312932e-02,-4.95148244166734510633788891979269852e-02,-7.26649226127413435600692780253582224e-01,9.98454381125276531964814762078275810e-01,-2.87255154997863223190449199879451126e-01,3.43299902754558929216031639430389529e-01,-7.97562465212710477487285963535472614e-01,4.53712562458151525578295700766883543e-01,1.29785757633090934678227432161501463e-02,2.61336083748829910914803686866297465e-02,-4.05621841381920831583404327039104774e-02,3.20468929640329114327812476403778419e+00,2.14491872453702926447524898414137200e+00,1.06532769978191876855711344588145304e+00
8.00000000000000044408920985006261617e-01,7.80312365842908127010458329093405518e-01,2.76335318055995141021061956085308980e-01,-1.05664768389890326803152028517871431e+00,3.33053359852702117013908887607099380e-01,-2.14193563858845173298215160689607534e-01,-1.18859795993856943715693726917491846e-01,2.70523513553207648507074541511881963e-03,5.05259649843442847123610942349578097e-02,-5.32312001198763611974318396500766414e-02,-8.78078959994185871643100787408696887e-01,1.06217489891025468370491204342329072e+00,-1.99545938916068938888138474069351231e-01,2.31373790505123207433058819410137662e-01,-6.90520151528483567297252210194348875e-01,4.58596361023360337171234767446011599e-01,2.23562314025028487918691792080846447e-02,1.11065642024394158387706994415949588e-02,-3.49127956049422632296771994508101821e-02,1.31792729084671889072666317588300444e+00,2.63362616668142353800576569915645539e+00,1.13671855594669253503105373104929855e+00
