x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.00000000000000000000000000000000000e+00,1.08105966433283384731112164445221424e+00,-5.40556847423408148856083244027104229e-01,-5.40508088505425865477604929765220731e-01,-1.61103999936333674313946803802188867e-06,3.45281693188283000939264866246958263e-01,-3.45274810552283650810778681261581369e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,2.75243295633073550463757600548220239e-05,1.09709414564358520571829558321041986e+00,-1.09713166997314859330003855575341731e+00,4.67209878061247363412178401631535962e-01,-2.33529804567645798973885007399076130e-01,-2.33670073493601609948555619666876737e-01,0.00000000000000000000000000000000000e+00,2.99999999999999988897769753748434596e-01,-2.99999999999999988897769753748434596e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,1.08106109656759487705969089924126004e+00,-5.39457815786133754995100209275383979e-01,-5.41603280781461122064590689965875966e-01,4.63838308203546424918291493930493823e-04,3.45045316463045568496691021804516003e-01,-3.45509154771249114921609313298446401e-01,2.32116139426761177240774608280340378e-14,2.99999685347419776708076327690009332e-04,-2.99999685370631390650752445414086793e-04,-6.84119099898006701609794590047624945e-04,1.09744704520981750554594825118210561e+00,-1.09677292610991957907103505337500042e+00,4.67209886790626458229685229586151373e-01,-2.35702580694889628908391112101496016e-01,-2.31497306095736874831556342919072262e-01,9.38350082679540803039784235271115739e-11,2.99999056031565536170520432709382405e-01,-2.99999056125400544438474513013360780e-01,-5.02766614860483684879000065848231316e-05,3.60925514229095603552677415972454717e-04,2.20218441905477782175223836458681648e-03
1.00000000000000005551115123125782702e-01,1.07741870153994007638432514416533003e+00,-4.28948617450478929584478785390519730e-01,-6.48470084089461146799846358774810206e-01,4.71881809329422101578075530046742299e-02,3.10787847142327862927764492168636344e-01,-3.57976028075270073085572045173310623e-01,2.52957071759186055301598212966701545e-06,2.99817729419170333683367024408881637e-02,-2.99843025126346252288897184230178338e-02,-7.24861981152950429736914841746523954e-02,1.10346418292503659832771913690319760e+00,-1.03098798480974163558072424951148793e+00,4.67302358374659473821963770792292282e-01,-4.46032303089193921211685434051336695e-01,-2.12600552854655981205405621753725247e-02,1.00435540232029443338932630298446502e-04,2.90673698456277680986315533274565234e-01,-2.90774133996509710429654465904863633e-01,4.93625562441052934126162199390819296e-01,5.04565780692537395780696089610718676e-01,2.22661445979520512649902826098170463e-01
2.00000000000000011102230246251565404e-01,1.06643959922870271958012547923915817e+00,-3.20232512142893767322944236781407628e-01,-7.46207087085808952257181242457750450e-01,9.39136411019929583609010504084288968e-02,2.57056905699160961174713145306158083e-01,-3.50970546801153919535614195714586931e-01,4.02610644254590096149629667590406799e-05,5.79320463544522700107981542175331797e-02,-5.79723074188777290204131171842922324e-02,-1.48034821754344612590953614117186001e-01,1.06593895809578445826391723523124239e+00,-9.17914136341439925899660217896999209e-01,4.67058254542429639619010865536226905e-01,-6.20550716945979575806977889707445025e-01,1.53502462403549890677704798736801287e-01,8.08943126392126771217840358561055593e-04,2.66397847454595796432059829941942750e-01,-2.67206790580987923203277670300503854e-01,2.23496646700938850216289210948161781e+00,1.43007328901591548243839056900409763e+00,4.27898225630888631186356341331342875e-01
2.99999999999999988897769753748434596e-01,1.04756505835160190542406088185778432e+00,-2.16221566190132190092798263901600570e-01,-8.31343492161469715331262617956183649e-01,1.40534808912993000950421943192133530e-01,1.88436839215987532497458945622572934e-01,-3.28971648128980533447880888814706512e-01,2.07337684534502242357272495500611382e-04,8.29972967554524987747623659996867716e-02,-8.32046344399870010171196384951873709e-02,-2.30999907639605312456225577005161613e-01,1.01437758651353673891250028236735219e+00,-7.83387678873931506682971302145133301e-01,4.64836598005492200597220671938724940e-01,-7.42913252993201268378742699991538478e-01,2.78086654987709022271259802618396489e-01,2.81382929426785224073409356826536358e-03,2.34136723716939398402331530701769829e-01,-2.36950553011207250643065624270035169e-01,4.18212442178031029715867816776153632e+00,2.01135066336869090837468635997903023e+00,6.03577231066871912850882837764643344e-01
4.00000000000000022204460492503130808e-01,1.01987502829282885991412646601461981e+00,-1.16958251971209730089853125353545378e-01,-9.02916776321619129824273340661074716e-01,1.86714012214024493483238533466566804e-01,1.10165952808330182245645542780814256e-01,-2.96879965022354675728884076247381108e-01,6.74678213963178881263001211026348352e-04,1.04683215033029778576522188544494708e-01,-1.05357893246992957457785189755521056e-01,-3.24908689092621542188783167694867380e-01,9.74356330539308208672691012834265631e-01,-6.49457641446686746710604441922340879e-01,4.57561147186034226289749831018760993e-01,-8.14672688765008626153218037787223492e-01,3.57121541578974354353205981334045595e-01,6.97685431170711208807803773062537280e-03,1.99470280537011654921094237659671061e-01,-2.06447134848718767009172275390296434e-01,5.33549918944366330375572715638554655e+00,2.22090801987312468678765015725824116e+00,7.47127102195595599573013452974835748e-01
5.00000000000000000000000000000000000e-01,9.82116416508015064360305738674194456e-01,-2.04693914098585648260061627232490098e-02,-9.61647025098156499534299575950945446e-01,2.31712271600933832486789258988672237e-01,2.69413408304075078310719574566616458e-02,-2.58653612431341340317861216445333835e-01,1.71147815276657455625287650036738818e-03,1.22890435116665403668264949135495995e-01,-1.24601913269431978224517825635863371e-01,-4.32801408740853828930309765918401496e-01,9.60423559474785966910485760967980542e-01,-5.27632150733932218206872591832521721e-01,4.40172909068456342789121615715747947e-01,-8.43112608131810604360642415103764157e-01,4.02949699063354216061258573953599401e-01,1.44129284014477710888680673393058829e-02,1.64687470156390286077173073721684625e-01,-1.79100398557838057166041141060990460e-01,5.72491765122897344753027937258593738e+00,2.27805275040798583811665098233726480e+00,8.62688327759824481938858441327191267e-01
5.99999999999999977795539507496869192e-01,9.32791891768355480900231714925856826e-01,7.61688898387168060310821438502170684e-02,-1.00896078160707228693131385877607389e+00,2.74156770933901427383317812804309516e-01,-5.71597202126108853764553502831060248e-02,-2.16997050721290542006862462521203443e-01,3.71266867983330105829382232824718228e-03,1.37606980927304488220007849934508808e-01,-1.41319649607137789278301672262755943e-01,-5.56290210428305626469615838816137551e-01,9.77497964603388532499372519467873371e-01,-4.21217754175082986256453277434678592e-01,4.04943524496088844616600545124147022e-01,-8.32408635583522220413964761807987699e-01,4.27475111087433330287101991249423771e-01,2.65170369957684033918689590028591880e-02,1.29447582628308023334090702914834144e-01,-1.55964619624076426725959661917693308e-01,5.54907081765358300984303241421002895e+00,2.31544005113365488607415488858908348e+00,9.56409309586749197848263056450602298e-01
6.99999999999999955591079014993738383e-01,8.70393762606677745009875163410158093e-01,1.75978714293417625280099074870552343e-01,-1.04637247690009537028997423828071082e+00,3.11749875425292670383688073769471538e-01,-1.38178416547508158206790011059997317e-01,-1.73571458877784512176898062709474197e-01,7.22160475364551120813660059574547793e-03,1.48707945463885557703909840846079064e-01,-1.55929550217531068912046441441824518e-01,-6.93509441750115319642732052351545102e-01,1.02272758701489255614924767766826502e+00,-3.29228145264777316733212222099662594e-01,3.41130008024011094136610861862758007e-01,-7.80652710072962619939653712480689210e-01,4.39532702048951480292780625183514202e-01,4.48101612522824951116188194150643202e-02,9.20444407654966896952056225861628022e-02,-1.36854602017779184806824442001227146e-01,4.76376813694146883371161038667196408e+00,2.43111370575011438123552404369062881e+00,1.03416353694206145552315225069139204e+00
8.00000000000000044408920985006261617e-01,7.93913359752941256517341605892512090e-01,2.81283110635898281022517790293862897e-01,-1.07519647038883953753985939618637518e+00,3.41013538018128748345071454072572127e-01,-2.11703864294939777332110694383420868e-01,-1.29309673723188971012960759689151234e-01,1.29178877756094067304761965748479724e-02,1.55883682107863609579845536609749203e-01,-1.68801569883473016310321733184597127e-01,-8.35688678346859288078216800207943495e-01,1.08462507086799163681443915332350302e+00,-2.48946392521132428962918949898502225e-01,2.36366690741698338879185726629290752e-01,-6.81317921076058640248076696124760288e-01,4.44961230334360255858628744061052632e-01,7.03419940650077537035199056951458598e-02,5.07276480782035750018862568782512129e-02,-1.21069642143211328705406162573397085e-01,3.23846048697571553542928768365527503e+00,2.79294120446597602254777339819187394e+00,1.10089726331949412339168853082844225e+00
