x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
0.00000000000000000000000000000000000e+00,1.08030142153150062374796410343454523e+00,-5.39375090224741430648217980584983371e-01,-5.40926331306759193099746122849561863e-01,-1.07300349053326890084540205331601717e-02,3.51243269322949659809925589589359620e-01,-3.40513234417616970801471569056199482e-01,2.39999999999999989139546838212702085e-04,1.01643953670516040688198700081557035e-20,-2.39999999999999999303942205264306153e-04,-1.44224756704366928461436003772178083e-02,1.09616414564358510830288651050068438e+00,-1.09719166997314854228307012817822397e+00,4.68929878061247362719399234265438281e-01,-2.33489804567645786725904599734349176e-01,-2.35990073493601598686453257869288791e-01,-3.20000000000000015334955527634974715e-03,9.92000000000000103916875104914652184e-02,-9.74500000000000088373752760162460618e-02,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,1.08028664288853253283810265271423609e+00,-5.38278752275779246341466746495157804e-01,-5.42023340612753286623783851169579287e-01,-1.02611018432704766355229929215942231e-02,3.51008695068813012880513483754234283e-01,-3.40748143225542536267694898630919761e-01,2.36799921041571005197637382700799089e-04,9.91995610206571883951712487213589698e-05,-3.37449482062228192222030140705285063e-04,-1.51348119833984613509867176550426038e-02,1.09651073975816742490371655230856551e+00,-1.09682592777476909037905705270828010e+00,4.68936250472616091172242963747700211e-01,-2.35658694407644985224704567122535524e-01,-2.33827556064971128640497019963364373e-01,-3.20015761750342015485860524266173260e-03,9.91990193177991006059421347262964343e-02,-9.74488617002956790501208502847652907e-02,-4.44116884770640041324440971948206425e-04,1.92592994438723585305597794258492732e-16,1.97989973155556813066063490256536688e-04,5.29867314308034887909734356573905086e-03
1.00000000000000005551115123125782702e-01,1.07519356824860796784533347063856027e+00,-4.27888804004223716695488613861123882e-01,-6.48865214244384263991787296778023336e-01,3.66683331756018673692123676988645824e-02,3.16764771014899625021660053366590676e-01,-3.53488654190501494684017608691699885e-01,-8.28838763748770512612775696833087207e-05,9.91175999649566393656542199924813698e-03,-9.97532612012078674685551686716064315e-03,-8.70646847038394308769428960544346730e-02,1.10204154454417288299336938682634333e+00,-1.03042685984033357894275370882666624e+00,4.69677582736944008052503469987488665e-01,-4.46087824103739337880659848350698984e-01,-2.41397586332046928648022449749897553e-02,-3.17421669775656071114451294274685536e-03,9.60796946410806108352325998704823368e-02,-9.43554779433240487231254077288660208e-02,3.99538463448600555949496992980130017e-01,4.36011319694579916684086910840879211e-16,4.04978552139559136530945562932201017e-01,2.22143358769240255860655426462526862e-01
2.00000000000000011102230246251565404e-01,1.06274186157489586684627955662824466e+00,-3.19367380792008456116102461839467884e-01,-7.46479930782887436286914029839450199e-01,8.36669711994808058858947911361650333e-02,2.62910921830801969202837319877007053e-01,-3.46688443030282779652318078467381933e-01,-3.90740018606928327168242811558026532e-04,1.91468719481240729252900590910217459e-02,-1.90475819295171443225953396453722433e-02,-1.62953015988568147074047438559165593e-01,1.06314381002859380546245458891979205e+00,-9.15640794040025785214734368415385104e-01,4.70158221198598217438568900813909161e-01,-6.23527737082749763657232591400762184e-01,1.52819515884151523525705067248653602e-01,-2.92789501621892273475098097820730123e-03,8.79523257986802613454750282649134986e-02,-8.64744307824613372097613680878365479e-02,1.58354026393439673014995605626609176e+00,1.30200734389494153697595036399472828e-15,1.14969199421974860985016312411370805e+00,4.29248273687652828864143480844810888e-01
2.99999999999999988897769753748434596e-01,1.04234050278566858044883714948145745e+00,-2.15810585397038244330041457503733290e-01,-8.31180367388630374390327122078483575e-01,1.30639756106273523927640627299600316e-01,1.93729405573817181719086928914015336e-01,-3.24534711680090712480754303495790098e-01,-6.53211832725532867630598094609600237e-04,2.74057178551779672415951382471102925e-02,-2.71889560224524339613602144467218841e-02,-2.46716960324771149128557946502098653e-01,1.00762481353259317687525311088503648e+00,-7.76357853207822154573022382437696766e-01,4.68781680771328056692915924987510432e-01,-7.51425750473120193243731141812807647e-01,2.82094069701792113857856593487097336e-01,-2.22163999583654199855255171461548976e-03,7.69158820282868608450986463876893566e-02,-7.61442420324503174455834154742040545e-02,2.96437873704427845567010990635026246e+00,1.60273832867885846196480864440560407e-15,1.65957347417030516821781911809109357e+00,6.09753600016665790830467696340950127e-01
4.00000000000000022204460492503130808e-01,1.01300438391843650081306645527202062e+00,-1.17518616012027446720551339085235372e-01,-9.01681217906409105078841041337629673e-01,1.77258910806851202083553740975297213e-01,1.14310959476796538167279196963477337e-01,-2.91790420283647749355300465048913754e-01,-8.09468231621607518338486776723390489e-04,3.44945158870713700209608395740157842e-02,-3.42664976554497619529401780198262768e-02,-3.42294905672197563072719065701590746e-01,9.61475901376440369084190160587835053e-01,-6.34630995704242932837798312941003580e-01,4.62399657009642953139991899755506855e-01,-8.28960863882556502324006150531912138e-01,3.66011206872913526491055627438206415e-01,-7.43892495121463139393595939098352103e-04,6.47781714844348194971260207202074772e-02,-6.54842789893133549567697455822393777e-02,3.91407557386864379811441949641448446e+00,2.11961693473611857568922729178262934e-15,1.87053482572789377758490702529864154e+00,7.59861649422288714631776714070142313e-01
5.00000000000000000000000000000000000e-01,9.73366234776212354252127894657483183e-01,-2.26383735755841756015326472103517763e-02,-9.58468311200628242351715667648061574e-01,2.22776815915746748175310598474823754e-01,2.94358739196714326308585769137950489e-02,-2.52488239835418192181077482326722712e-01,-7.62584539811677976259328916332993521e-04,4.03537881575114644709670701465622955e-02,-4.03176536176997858079477173810759124e-02,-4.53290477458490218929008092045194591e-01,9.41317314238321825520644435728090845e-01,-5.03476836779831733417963561737655671e-01,4.45627068644040168825671927542244260e-01,-8.61441695128607698113799632155487407e-01,4.15264626484567506595169081275044857e-01,1.92009074279821329985043398955405937e-03,5.23831849540781095881873770009876139e-02,-5.57532756968763214870751317916719731e-02,4.30297207261770675579271028254879639e+00,2.47437030423468041685008248022506672e-15,1.94030582199684555027478782118494484e+00,8.82252007203743211064533308804445928e-01
5.99999999999999977795539507496869192e-01,9.21754527926142643632548518481656338e-01,7.18554454815520595423179591849787264e-02,-1.00289542340769477959078139291765116e+00,2.65759055068779413456064923710131442e-01,-5.65849441380558703055339397959096526e-02,-2.09504660930723556795880070680290464e-01,-3.68349254337978034208504549507876982e-04,4.49617912509550330861834098021696036e-02,-4.54648919966170542281370323318209475e-02,-5.81921530487271810265032841094588964e-01,9.54198311676981577723002041258256942e-01,-3.87726781189709894284296418218426914e-01,4.09968596034350347200280289559390575e-01,-8.51934282687162065779000422131565493e-01,4.41415686652811695885761509233976773e-01,6.29960155612898021988807187273845418e-03,3.96896432623426681256804677277919220e-02,-4.74392448184716469446058604016606132e-02,4.12636275781045991362105951338890009e+00,2.20768547315361082817575387136101790e-15,1.99120171215550392785081026255196558e+00,9.82201643212769092756174991101076992e-01
6.99999999999999955591079014993738383e-01,8.56436763967127313936586792387147083e-01,1.69258227787539331415388028366354371e-01,-1.03652544175466673448268423105460278e+00,3.03739905531870690948559079803344797e-01,-1.39461771983261818837885234628024460e-01,-1.64663683548608888026463711769353522e-01,5.74146487339720617287233254604885763e-04,4.82630445960003977533688039383409061e-02,-4.98536410833401174097403152004176731e-02,-7.26649226127413435600692780253577409e-01,9.98454381125276531964814762078267528e-01,-2.87255154997863223190449199879448333e-01,3.43299902754558929216031639430392081e-01,-7.97562465212710477487285963535473674e-01,4.53712562458151525578295700766884458e-01,1.29785757633090934678227432161499537e-02,2.61336083748829910914803686866299180e-02,-4.05621841381920831583404327039100922e-02,3.20468929640329458496950110202305950e+00,2.70494642029704101216778348770167683e-15,2.14491872453703212159675196960050464e+00,1.06532769978191876855711344588145574e+00
8.00000000000000044408920985006261617e-01,7.76187215842908093061957027309679716e-01,2.72210168055995107072560654301574849e-01,-1.06077283389890330198002158696244126e+00,3.32906509852702110951832005466433873e-01,-2.14340413858845179360292042830273691e-01,-1.19006645993856949777770609058157762e-01,2.31808513553207685106860243652372652e-03,5.01388149843442850783589512563632669e-02,-5.36183501198763608314339826286715754e-02,-8.78078959994185871643100787408691013e-01,1.06217489891025468370491204342327955e+00,-1.99545938916068938888138474069347595e-01,2.31373790505123207433058819410141827e-01,-6.90520151528483567297252210194352053e-01,4.58596361023360337171234767446012370e-01,2.23562314025028487918691792080843438e-02,1.11065642024394158387706994415951770e-02,-3.49127956049422632296771994508097367e-02,1.31792729084672444184178630166570656e+00,2.49921994041065779409685930889332006e-15,2.63362616668142698558150012244214261e+00,1.13671855594669253503105373104930183e+00
