x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.00000000000000000000000000000000000e+00,1.06697200000000003150546490360284224e+00,-5.33486000000000015752732451801421121e-01,-5.33486000000000015752732451801421121e-01,0.00000000000000000000000000000000000e+00,3.39818000000000008942180329540860839e-01,-3.39818000000000008942180329540860839e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,1.09698999999999990961896401131525636e+00,-1.09698999999999990961896401131525636e+00,4.71428000000000013702816659133532085e-01,-2.35714000000000006851408329566766042e-01,-2.35714000000000006851408329566766042e-01,0.00000000000000000000000000000000000e+00,1.58752000000000004220623850414995104e-01,-1.58752000000000004220623850414995104e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,1.06697163458529772163628520059426738e+00,-5.32388828362962244605317814660245948e-01,-5.34582806222335477030967385934021526e-01,4.71428004032398327940468155487759588e-04,3.39581164732835118805309832602586904e-01,-3.40052592736867517133250300758074768e-01,1.35129286322184928391238078909953890e-14,1.58751825387038896890083284936865451e-04,-1.58751825400551825522301777775989242e-04,-7.30829737811730395547983463107091991e-04,1.09735220393375082735268682135764318e+00,-1.09662137419593909695713883789453616e+00,4.71428012097015333070437799002851119e-01,-2.37956532925441504939200522379914881e-01,-2.33471479171573828131237276622936214e-01,5.40517282174253131908653366414158802e-11,1.58751476155071630512991381823317385e-01,-1.58751476209123358730416695014182716e-01,-2.62584582386704568079949240200221539e-05,2.40741243048404481631997242823115915e-17,1.16943524992468038630581628813360190e-05,2.27261631686952340310173661490636743e-03,4.71428145653052452917179380225895718e-04,1.13361311167299243094385121206917665e-03,1.13279291294251154806927364834478753e-03,7.30829737911849953938212250317416482e-04,2.27159544939836323115466575060540390e-03,2.27261631686952340310173661490636743e-03
1.00000000000000005551115123125782702e-01,1.06322707135165990092939340618640546e+00,-4.21894708229457405455573389544875979e-01,-6.41332363122202495473820016641527705e-01,4.76174336134548118629553584986713729e-02,3.04745126556924020278685150920111093e-01,-3.52362560170378832141640509418782171e-01,1.41341860638700959367506125331184704e-06,1.58569879950763292568039091706913647e-02,-1.58584014136827162663975842319446721e-02,-7.45002442553501186974024378414568751e-02,1.10273893459666839103663090192889971e+00,-1.02823869034131827233922846408744223e+00,4.71504318131774235222173498713358342e-01,-4.55440030967934984684433266388097301e-01,-1.60642871638392505377402323252605747e-02,5.61205715073385396577593141164645688e-05,1.53558758249227004727591701120306093e-01,-1.53614878820734343267249460434422645e-01,4.51339052353071368273162988771218807e-01,7.48775172403170859040612901810525085e-16,4.62636662999453272923811713324263785e-01,2.30215396841310929123897780403904369e-01,4.77644687661308233188740375257969902e-02,1.18043072303496026386085523842317707e-01,1.09725534512034634852043464467901602e-01,7.45003044831537059652512981743992661e-02,2.19862567741306670330639399290668989e-01,2.30215396841310929123897780403904369e-01
2.00000000000000011102230246251565404e-01,1.05193706961388648355720042948327631e+00,-3.13421963982868209710073457788301666e-01,-7.38515105631018273847126971694972858e-01,9.47596590386710366355535521495689211e-02,2.49695015774059298160911856433739935e-01,-3.44454674812730334796465408583308699e-01,2.25059291286552692044822203748280382e-05,3.05854611590689941048430458594555686e-02,-3.06079670881976493740475280798304362e-02,-1.52304322572970295132613413891706945e-01,1.06122306106619923368742539383958025e+00,-9.08918738493228938554811979947873935e-01,4.71161094836382994037856263778541692e-01,-6.37539048292665344391630221406098066e-01,1.66377953456282350353773957627556349e-01,4.52334092075273710601695724327197027e-04,1.39886616399074008722162617066555830e-01,-1.40338950491149282432764312790883187e-01,1.86469483314397177498022983854752965e+00,6.02334397668034067831606700925702537e-16,1.34126174011032608038129118318621822e+00,4.44283444246184754973530911792589636e-01,9.59449978860665560808221602761317368e-02,2.39761970854953477954650684921885811e-01,2.07353033636950778716435753658966748e-01,1.52305228140430583090136416379351949e-01,4.03854610044886258457069571869578007e-01,4.44283444246184754973530911792589636e-01
2.99999999999999988897769753748434596e-01,1.03249963160567594805157806948982072e+00,-2.10215385462729012477805255959553563e-01,-8.22284246142946935573772813530267540e-01,1.41776866845110845092929929082699625e-01,1.79028219684255981117574772600603340e-01,-3.20805086529366826210504701683302556e-01,1.15963236982344616862301801430646130e-04,4.36755616370921516820289995455610440e-02,-4.37915248740744962988913013469917419e-02,-2.38100299070783581232259161624741202e-01,1.00261293728314774959098233963033528e+00,-7.64512638212364168358723178005592846e-01,4.68581245142576521029662588498590744e-01,-7.66534148051313700200788695469371897e-01,2.97952902908737179171126106970781346e-01,1.57416999472169830221917345670932059e-03,1.21426699051849196914803474049731397e-01,-1.23000869046570895217022647506440652e-01,3.49269829089036698555048587877536193e+00,1.26801180270683617729307292630602228e-15,1.93645285737258618907338186672373896e+00,6.29777502556195783292720075365041273e-01,1.45907633805098135465207025118031464e-01,3.63682276666880636469287730474319309e-01,2.92717637843503761624342686619896776e-01,2.38122519812778587768809323214157154e-01,5.40435229824212387246054958932961948e-01,6.29777502556195783292720075365041273e-01
4.00000000000000022204460492503130808e-01,1.00392462945584262786912384344496106e+00,-1.12546354938643615771054622389927908e-01,-8.91378274517199012098069221055035008e-01,1.88289284779486524389460725453332059e-01,9.81764814610115048541174044411977945e-02,-2.86465766240498029243578129894529649e-01,3.77319108137285859343063028096740516e-04,5.48188534750321243703851698836503977e-02,-5.51961725831694102297282329117471454e-02,-3.35647111544807395195757726805846011e-01,9.54197650205959629610684272094084379e-01,-6.18550538661152234414926545288237839e-01,4.60329984072841724035913630277641704e-01,-8.42085889609480565620207684711561335e-01,3.81755905536638841584294054433920594e-01,3.89954366474279276169535369593498981e-03,1.01346874686636209230500754644701138e-01,-1.05246418351379001992196108340636068e-01,4.55944079780139466251398516760673374e+00,1.07830848727131414895121731038034084e-15,2.17885962672735832863364326528983446e+00,7.82966314522655355511028298527375570e-01,1.98564770452898385942000799001121022e-01,4.88452571866016561760024167726558335e-01,3.66032728692467733164086158714709060e-01,3.35853176085451174220286812819221396e-01,6.25597212334357059648275964447670582e-01,7.82966314522655355511028298527375570e-01
5.00000000000000000000000000000000000e-01,9.64874491686114175013476448085346340e-01,-1.84745838090514960547349846524255565e-02,-9.46399907877062678958741463432921755e-01,2.33469526799986177106573350375839461e-01,1.21794223400865670841399410933131584e-02,-2.45648949140072744190713291469152192e-01,9.55793130484507532851811588923389972e-04,6.39424778281450072295015187150024028e-02,-6.48982709586295147623533303039258193e-02,-4.48007378678012009472288274979523552e-01,9.32461066860838934887257620072142647e-01,-4.84453688182826925414969345092618421e-01,4.40784945914849629303361622246084949e-01,-8.70487999033655553068981430370887857e-01,4.29703053118805923765619808124804594e-01,8.02632194719791178890928548003130836e-03,8.11437836943409150976368066762188980e-02,-8.91701056415388268865460921562501492e-02,4.95363882835203783727706650097388774e+00,1.81600137230421629523346347796503135e-15,2.26081368721999408887869035062498188e+00,9.07095489955943291562254905660940047e-01,2.54819219621718755378913656794782420e-01,6.13736455531867797491663314732295842e-01,4.28459439190673747331407485854201451e-01,4.49125850912201637247161852721733221e-01,6.60326309431356675543052653233242209e-01,9.07095489955943291562254905660940047e-01
5.99999999999999977795539507496869192e-01,9.13785342243952771594300635281513954e-01,7.50372063475964299917843644468850910e-02,-9.88822548591549201586084999728401115e-01,2.75794000061127944979200065020738672e-01,-7.44921702547031744932255602568024051e-02,-2.01301829806424770485974504763936014e-01,2.06590780790506631670745033442546488e-03,7.10460780091193942965656811507968745e-02,-7.31119858170244606132731314852223985e-02,-5.76369838893586641565561708228301301e-01,9.43166632382996751925967811276704588e-01,-3.66796793489410110360406103048403094e-01,4.01575338808002251009511393298987704e-01,-8.55822013018677909106028205985190031e-01,4.54246674210675658096516812686204734e-01,1.46525126399746778278919506406174790e-02,6.08696951668397399999888429950772994e-02,-7.55222078068144178278807936356946956e-02,4.77913620162190877493912921636365354e+00,2.41657326070487055523043368208850811e-15,2.32116087871767943369722811345719880e+00,1.00804516223232172267640345699608543e+00,3.15488114767032956395598429875613309e-01,7.39595129135203580511384447798817641e-01,4.81522028944126833545666915619025028e-01,5.80772142572702662575919191209037622e-01,6.46356342766480638209791569113007729e-01,1.00804516223232172267640345699608543e+00
6.99999999999999955591079014993738383e-01,8.49156248679095752057023802529611848e-01,1.71134478650729236218266392955706684e-01,-1.02029072732982498827529019548532055e+00,3.12762548584627105661083327454460486e-01,-1.57509283678731445482359307639450845e-01,-1.55253264905895660178724019815009208e-01,3.99205408899023572764006278789575191e-03,7.60908377909926529002626259687833118e-02,-8.00828918799828886279026887566792074e-02,-7.17816510732619584476371626116753070e-01,9.82828002227094140454601682559885959e-01,-2.65011491494474555978230056443133804e-01,3.31671392737472261484397884356287681e-01,-7.96744953576361054907672878275746155e-01,4.65073560838888793423274993919460400e-01,2.44394576298669122450855222913089639e-02,3.98289879866105506163843784594417636e-02,-6.42684456164774628614699007507506824e-02,4.06202593034922132542163808466284536e+00,2.13270111414620179877492327284163660e-15,2.46765110299251567532573665495679783e+00,1.09188762521174396560407018351896097e+00,3.81156201335476986822446081291503463e-01,8.65802668984673079083327981357130804e-01,5.26741163725489735141872556759734801e-01,7.31703313811771288466346904973620691e-01,5.84748984943658281473802084515878365e-01,1.09188762521174396560407018351896097e+00
8.00000000000000044408920985006261617e-01,7.70113844227053548062251158027451902e-01,2.72144162133326911986999009901320000e-01,-1.04225800636038046004925016792877339e+00,3.40715565286702634465094691264124636e-01,-2.32192818141392338456678694690164233e-01,-1.08522747145310296008415996573959536e-01,7.06908656387036407608431478249631032e-03,7.89633058868050430306430184405260613e-02,-8.60323924506754071067273332230225477e-02,-8.62177468451119043588771801596258769e-01,1.03837421153458926571079419294451137e+00,-1.76196743083470222122022391348252622e-01,2.19554660855045411796441800079534497e-01,-6.88302905842440726506845957170434606e-01,4.68748244987395314710404157090901891e-01,3.76513468298391137606303907056597955e-02,1.73607744249309327692922332109620005e-02,-5.50121212547700465299226239166218110e-02,2.87463738830855530803631836533895694e+00,1.78168851570868892440884278841669686e-15,2.84519322771756504177930296903724867e+00,1.16399709580295184101734548598402877e+00,4.51953352750479966328794875513162535e-01,9.91197022738834098732802765911919722e-01,5.65462661012969873926570630281546043e-01,8.99003776407480131455660009300466602e-01,4.77769826400432601813123654491940514e-01,1.16399709580295184101734548598402877e+00
